Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00     1059     0.00     0.00  void std::allocator_traits<std::allocator<sift::Keypoint> >::construct<sift::Keypoint, sift::Keypoint const&>(std::allocator<sift::Keypoint>&, sift::Keypoint*, sift::Keypoint const&)
  0.00      0.84     0.00     1059     0.00     0.00  std::vector<sift::Keypoint, std::allocator<sift::Keypoint> >::push_back(sift::Keypoint const&)
  0.00      0.84     0.00     1059     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.00      0.84     0.00      944     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.84     0.00      944     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.84     0.00      942     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.84     0.00      942     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.84     0.00      942     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.84     0.00      942     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.84     0.00      942     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.84     0.00      942     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      0.84     0.00      884     0.00     0.00  std::remove_reference<std::_Vector_base<float, std::allocator<float> >::_Vector_impl&>::type&& std::move<std::_Vector_base<float, std::allocator<float> >::_Vector_impl&>(std::_Vector_base<float, std::allocator<float> >::_Vector_impl&)
  0.00      0.84     0.00      709     0.00     0.00  stbi__zreceive(stbi__zbuf*, int)
  0.00      0.84     0.00      584     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.84     0.00      565     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00      0.84     0.00      564     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.84     0.00      564     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.84     0.00      564     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.84     0.00      564     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.84     0.00      564     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.84     0.00      563     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.84     0.00      563     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00      0.84     0.00      561     0.00     0.00  bool __gnu_cxx::operator!=<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >(__gnu_cxx::__normal_iterator<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > > const&, __gnu_cxx::__normal_iterator<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > > const&)
  0.00      0.84     0.00      560     0.00     0.00  draw_point(Image&, int, int, int)
  0.00      0.84     0.00      560     0.00     0.00  sift::hists_to_vec(float (*) [4][8], std::array<unsigned char, 128ul>&)
